	TitleBlock	DescriptionBlock	CourseID	CourseName	Credits	tf_idf_vector	Top10Recommendations
10	ANIM 115  Introduction to Production with Animation & VFX 3.0 Credits	This course introduces students to many of the core principles, techniques and technologies employed in the creation of media incorporating animation and visual effects. The basics of planning and shooting live action, greenscreen and still image media are introduced in conjunction with design, creation, animation and compositing of both 2D and 3D assets.	ANIM 115	Introduction to Production with Animation & VFX 	3.0	[0. 0. 0. ... 0. 0. 0.]	['ANIM 100', 'ANIM 411', 'ANIM 215', 'ANIM 212', 'ANIM 410', 'ANIM 140', 'DIGM 110', 'ANIM 141', 'ANIM 220', 'ANIM 145']
11	ANIM 140  Computer Graphics Imagery I 3.0 Credits	Students learn to represent 3D objects and spaces in 2D media using a variety of drawing and computer graphic techniques. This course lays important foundations for subsequent courses in 3D computer modeling and animation.	ANIM 140	Computer Graphics Imagery I 	3.0	[0. 0. 0. ... 0. 0. 0.]	['DIGM 110', 'ANIM 211', 'ANIM 221', 'ANIM 215', 'ANIM 115', 'ANIM 141', 'ANIM 145', 'MET 321', 'GMAP 345', 'ANIM 388']
12	ANIM 141  Computer Graphics Imagery II 3.0 Credits	This course will introduce students to the principles and techniques of 3D virtual scene building for animation, visualization and game development.	ANIM 141	Computer Graphics Imagery II 	3.0	[0. 0. 0. ... 0. 0. 0.]	['ANIM 145', 'ANIM 211', 'PRST 303', 'GMAP 360', 'ANIM 215', 'ANIM 140', 'DIGM 110', 'ANIM 115', 'GMAP 367', 'CS 445']
13	ANIM 145  Realtime Visualization 3.0 Credits	In this course, students learn principles and techniques of scene building in realtime, 3D interactive graphics engines for use in animation, visualization, game design, VR, AR and other forms of digital media.	ANIM 145	Realtime Visualization 	3.0	[0. 0. 0. ... 0. 0. 0.]	['ANIM 141', 'VRIM 215', 'GMAP 367', 'GMAP 102', 'VRIM 100', 'DIGM 355', 'GMAP 345', 'ANIM 140', 'DIGM 110', 'ANIM 115']
14	ANIM 152  Multimedia Timeline Design 3.0 Credits	Introduces basic design concepts and tools to create time based 2D and 3D multimedia. Addresses issues from pre-production planning, through, post-production and delivery; emphasis on time-based multimedia.	ANIM 152	Multimedia Timeline Design 	3.0	[0. 0. 0. ... 0. 0. 0.]	['DIGM 252', 'IDM 245', 'TVPR 240', 'ANIM 221', 'GMAP 377', 'FMVD 215', 'ECON 360', 'ANIM 215', 'INDE 463', 'OPM 321']
15	ANIM 155  Previsualization for Animated Production 3.0 Credits	Previsualization is the all-important design and planning process that takes place before embarking on the production of an animation or visual effects piece. In this course, student will learn and practice the creation, motivation and use of pre-production plans, concept art, mood boards, shot storyboarding, animatics, performance reference and other topics integral to the previsualization process.	ANIM 155	Previsualization for Animated Production 	3.0	[0. 0. 0. ... 0. 0. 0.]	['TVPR 240', 'ANIM 115', 'ANIM 231', 'GMAP 377', 'ANIM 215', 'GMAP 399', 'ANIM 250', 'ANIM 411', 'MET 322', 'PROD 480']
16	ANIM 211  Animation I 3.0 Credits	Explores computer animation with an introduction to concepts of 3D animation. Includes narrative structure, storyboarding, and development. Emphasizes aesthetic, technical and conceptual issues. Requires students to create short, 3D animations.	ANIM 211	Animation I 	3.0	[0. 0. 0. ... 0. 0. 0.]	['ANIM 215', 'ANIM 140', 'DIGM 110', 'ANIM 212', 'ANIM 141', 'GMAP 367', 'ANIM 115', 'ANIM 388', 'ANIM 221', 'MET 321']
17	ANIM 212  Animation II 3.0 Credits	Builds on topics introduced in ANIM 211 Animation I, incorporating advanced animation techniques such as inverse kinematics and dynamics. Requires students to propose, design, and produce a short animation.	ANIM 212	Animation II 	3.0	[0. 0. 0. ... 0. 0. 0.]	['ANIM 211', 'ANIM 115', 'ANIM 100', 'ANIM 215', 'GMAP 367', 'ANIM 248', 'ANIM 350', 'ANIM 141', 'ANIM 411', 'GMAP 345']
18	ANIM 215  History of Animation 3.0 Credits	Students learn the pre-cursors to modern animation and the evolution of the art since the beginning of the 20th century.  Concepts in both 2D and 3D animation will be covered.	ANIM 215	History of Animation 	3.0	[0. 0. 0. ... 0. 0. 0.]	['VRIM 215', 'ANIM 211', 'ANIM 115', 'ANIM 248', 'ANIM 140', 'DIGM 110', 'ANIM 212', 'ANIM 141', 'ANIM 350', 'ANIM 221']
19	ANIM 220  Digital Compositing I 3.0 Credits	Examines digital compositing possibilities through the manipulation and recombination of acquired and produced digital imagery, including study of digital image and video formats, color space, live action digital matte painting, Greenscreen/Bluescreen compositing, rotoscope masking and 2D tracking.	ANIM 220	Digital Compositing I 	3.0	[0. 0. 0. ... 0. 0. 0.]	['ANIM 221', 'PHTO 240', 'SMT 290', 'ANIM 115', 'ANIM 100', 'DIGM 475', 'PHTO 141', 'DIGM 308', 'EDLT 326', 'MEM 459']
20	ANIM 221  Digital Compositing II 3.0 Credits	Examines 2D and 3D digital compositing possibilities through the manipulation and recombination of acquired and produced digital imagery, including 2D/3D Integration, 3D Matchmoving, and High Dynamic Range Imagery.	ANIM 221	Digital Compositing II 	3.0	[0. 0. 0. ... 0. 0. 0.]	['ANIM 220', 'ANIM 140', 'DIGM 110', 'ANIM 215', 'ANIM 211', 'ANIM 115', 'ANIM 152', 'DIGM 252', 'VRIM 100', 'MET 321']
21	ANIM 231  Scripting for Animation and Visual Effects 3.0 Credits	This course explores modern scripting languages utilized in Animation and Visual Effects operating systems and software tools that are integral to artist productivity and production pipeline scalability.	ANIM 231	Scripting for Animation and Visual Effects 	3.0	[0. 0. 0. ... 0. 0. 0.]	['ANIM 100', 'ANIM 435', 'GMAP 231', 'IDM 231', 'DIGM 100', 'ANIM 411', 'ANIM 410', 'ANIM 250', 'ANIM 155', 'ANIM 115']
22	ANIM 247  Organic Modeling I 3.0 Credits	This course presents an intensive exploration of human character modeling and rigging for animation, with emphasis on human anatomy and articulation. Through lectures, demonstrations, class critiques and individual feedback from peers and the instructor, students will learn best practices for modeling human forms for animation and why these approaches are valid. Although the focus is on humans, the concepts and techniques presented for organic modeling, sculpting and rigging apply to all organic characters.	ANIM 247	Organic Modeling I 	3.0	[0. 0. 0. ... 0. 0. 0.]	['ANIM 347', 'ANIM 314', 'ENVS 308', 'CS 345', 'BMES 440', 'BMES 440', 'GMAP 345', 'GMAP 367', 'FMVD 305', 'BMES 305']
23	ANIM 248  Advanced Lighting 3.0 Credits	Students will learn to integrate production-oriented lighting techniques into animation.  Techniques utilizing both point-based and raytraced global illumination will be covered, and how to optimize pipelines for animation.  Basic shader development will also be covered.	ANIM 248	Advanced Lighting 	3.0	[0. 0. 0. ... 0. 0. 0.]	['ANIM 215', 'ANIM 212', 'ANIM 141', 'ANIM 388', 'GMAP 367', 'INFO 355', 'ANIM 110', 'PHTO 456', 'ANIM 410', 'ANIM 211']
24	ANIM 250  Professional Practices for Animation & VFX 3.0 Credits	Provides a professional orientation to the animation and visual effects industry through an exploration of a variety of projects and studies. In addition to lecture and discussions, students learn to take active part in role plays and presentations to achieve an understanding of the importance of team building, team work, and team management in all phases of animation and visual effects productions from proposals to final delivery, as well as personal development and promotion through personal learning, development of work demonstration materials.	ANIM 250	Professional Practices for Animation & VFX 	3.0	[0. 0. 0. ... 0. 0. 0.]	['VRIM 250', 'DIGM 250', 'ANIM 410', 'ANIM 100', 'ANTH 345', 'ORGB 400', 'MIP 477', 'ANIM 115', 'ANIM 411', 'FMVD 324']
25	ANIM 314  Character Animation I 3.0 Credits	In this course, students learn humanoid rigging, body mechanics, body language and theories of acting with emphasis on having characters emote and perform with deliberateness of action. The course will culminate with a two character pantomime animation that students will create with a partner.	ANIM 314	Character Animation I 	3.0	[0. 0. 0. ... 0. 0. 0.]	['ANIM 247', 'BMES 440', 'BMES 440', 'BIO 314', 'WGST 220', 'BMES 212', 'BMES 212', 'NURS 221', 'NURS 339', 'THTR 211']
26	ANIM 315  Character Animation II 3.0 Credits	Students learn human facial deformation and movement as it’s applied to thought driven character performance.	ANIM 315	Character Animation II 	3.0	[0. 0. 0. ... 0. 0. 0.]	['SCL 280', 'BSAN 360', 'PSY 330', 'DANC 106', 'IDM 364', 'FMVD 305', 'ANIM 247', 'MEM 333', 'BMES 337', 'BMES 337']
27	ANIM 347  Organic Modeling II 3.0 Credits	In this course, students will learn organic modeling of creatures, both real and imagined, for animation, taking into consideration anatomy, articulation and the fundamentals of creature design. In addition, we’ll look at various concepts and techniques for rigging animals and creatures as you’ll develop and present your own creature, modeled, sculpted, rigged, and posed in a final animation.	ANIM 347	Organic Modeling II 	3.0	[0. 0. 0. ... 0. 0. 0.]	['ANIM 247', 'ANIM 215', 'ANIM 212', 'GMAP 367', 'ANIM 248', 'ANIM 115', 'ANIM 250', 'MET 423', 'CS 345', 'ANIM 141']
28	ANIM 350  Experimental Animation Lab 3.0 Credits	In this lab course, students explore Animation as an art form. Animation's characteristic of being a malleable art form opens the possibility of limitless, novel expressions of ideas. Students explore how Animation can uniquely affect the human spirit toward higher levels of conceptual consideration and comprehension as a multi-sensory language that can speak to audiences universally and post-linguistically.	ANIM 350	Experimental Animation Lab 	3.0	[0. 0. 0. ... 0. 0. 0.]	['ANIM 215', 'ANIM 212', 'ANIM 211', 'GMAP 367', 'ANIM 100', 'ANIM 115', 'BIO 314', 'ANIM 250', 'ANIM 248', 'ANIM 141']
29	ANIM 388  Spatial Data Capture 3.0 Credits	Students learn about the tools available to integrate components from the physical environment into computer animations and games.  Aspects covered will be 3D scanning, motion capture and imaging techniques.	ANIM 388	Spatial Data Capture 	3.0	[0. 0. 0. ... 0. 0. 0.]	['GMAP 367', 'ANIM 211', 'CS 445', 'ANIM 248', 'ANIM 140', 'DIGM 110', 'CS 341', 'BMES 421', 'BMES 421', 'ENGR 100']
30	ANIM 410  Advanced Compositing 3.0 Credits	Students learn to create detailed visual effects, and the best methods to integrate them into live-action plates. Drawing on existing compositing and animation knowledge, students will work in groups to produce short visual effects sequences.	ANIM 410	Advanced Compositing 	3.0	[0. 0. 0. ... 0. 0. 0.]	['ANIM 100', 'ANIM 115', 'ANIM 250', 'ANIM 411', 'FMVD 324', 'MIP 382', 'ANTH 345', 'ANIM 212', 'VSST 100', 'VRIM 250']
31	ANIM 411  Advanced Animation 3.0 Credits	This course explores a wide range of visual effects assets, both practical and synthetic.  Projects focus on the creation of a comprehensive short animation.	ANIM 411	Advanced Animation 	3.0	[0. 0. 0. ... 0. 0. 0.]	['ANIM 115', 'ANIM 410', 'ANIM 100', 'EVGD 310', 'ANIM 250', 'ANIM 212', 'ANIM 231', 'ANIM 211', 'FMVD 324', 'ANIM 215']
32	ANIM 435  Technical Directing for Animation 3.0 Credits	Students learn the necessary toolsets for technical direction of animated films and visual effects.  The topics covered include Pythos scripting, pipeline development and integration and creation of custom shaders to streamline production processes.	ANIM 435	Technical Directing for Animation 	3.0	[0. 0. 0. ... 0. 0. 0.]	['ANIM 231', 'FMVD 324', 'ANIM 410', 'ANIM 250', 'ANIM 115', 'COM 330', 'ANIM 100', 'ANIM 411', 'FMVD 305', 'ANIM 155']
33	ANIM I199  Independent Study in Animation 0.0-12.0 Credits	Self-directed within the area of study requiring intermittent consultation with a designated instructor.	ANIM I199	Independent Study in Animation 0.0-1	2.0	[0. 0. 0. ... 0. 0. 0.]	['ADGD I299', 'ADGD I399', 'ADGD I499', 'ANIM I199', 'ANIM I299', 'ANIM I399', 'ANIM I499', 'ARCH I199', 'ARCH I299', 'ARCH I399']
34	ANIM I299  Independent Study in Animation 0.0-12.0 Credits	Self-directed within the area of study requiring intermittent consultation with a designated instructor.	ANIM I299	Independent Study in Animation 0.0-1	2.0	[0. 0. 0. ... 0. 0. 0.]	['ADGD I299', 'ADGD I399', 'ADGD I499', 'ANIM I199', 'ANIM I299', 'ANIM I399', 'ANIM I499', 'ARCH I199', 'ARCH I299', 'ARCH I399']
35	ANIM I399  Independent Study in Animation 0.5-12.0 Credits	Self-directed within the area of study requiring intermittent consultation with a designated instructor.	ANIM I399	Independent Study in Animation 0.5-1	2.0	[0. 0. 0. ... 0. 0. 0.]	['ADGD I299', 'ADGD I399', 'ADGD I499', 'ANIM I199', 'ANIM I299', 'ANIM I399', 'ANIM I499', 'ARCH I199', 'ARCH I299', 'ARCH I399']
36	ANIM I499  Independent Study in Animation 0.0-12.0 Credits	Self-directed within the area of study requiring intermittent consultation with a designated instructor.	ANIM I499	Independent Study in Animation 0.0-1	2.0	[0. 0. 0. ... 0. 0. 0.]	['ADGD I299', 'ADGD I399', 'ADGD I499', 'ANIM I199', 'ANIM I299', 'ANIM I399', 'ANIM I499', 'ARCH I199', 'ARCH I299', 'ARCH I399']
37	ANIM T180  Special Topics in Animation 0.0-12.0 Credits	Topics decided upon by faculty will vary within the area of study.	ANIM T180	Special Topics in Animation 0.0-1	2.0	[0. 0. 0. ... 0. 0. 0.]	['ADGD T280', 'ADGD T380', 'ADGD T480', 'ANIM T180', 'ANIM T280', 'ANIM T380', 'ANIM T480', 'ARCH T180', 'ARCH T280', 'ARCH T380']
38	ANIM T280  Special Topics in Animation 0.0-12.0 Credits	Topics decided upon by faculty will vary within the area of study.	ANIM T280	Special Topics in Animation 0.0-1	2.0	[0. 0. 0. ... 0. 0. 0.]	['ADGD T280', 'ADGD T380', 'ADGD T480', 'ANIM T180', 'ANIM T280', 'ANIM T380', 'ANIM T480', 'ARCH T180', 'ARCH T280', 'ARCH T380']
39	ANIM T380  Special Topics in Animation 0.0-12.0 Credits	Topics decided upon by faculty will vary within the area of study.	ANIM T380	Special Topics in Animation 0.0-1	2.0	[0. 0. 0. ... 0. 0. 0.]	['ADGD T280', 'ADGD T380', 'ADGD T480', 'ANIM T180', 'ANIM T280', 'ANIM T380', 'ANIM T480', 'ARCH T180', 'ARCH T280', 'ARCH T380']
40	ANIM T480  Special Topics in Animation 3.0 Credits	Topics decided upon by faculty will vary within the area of study.	ANIM T480	Special Topics in Animation 	3.0	[0. 0. 0. ... 0. 0. 0.]	['ADGD T280', 'ADGD T380', 'ADGD T480', 'ANIM T180', 'ANIM T280', 'ANIM T380', 'ANIM T480', 'ARCH T180', 'ARCH T280', 'ARCH T380']
41	ARCH 107  Foundation Design I 2.0 Credits	Introduces basic design principles through investigation of abstract and applied design projects using two-dimensional media.  Exercises heighten observation and graphic skills.	ARCH 107	Foundation Design I 	2.0	[0. 0. 0. ... 0. 0. 0.]	['ARCH 191', 'ARCH 108', 'ARCH 181', 'ARCH 182', 'VSCM 230', 'ARCH 109', 'INTR 220', 'VSST 108', 'ARCH 183', 'PROD 225']
42	ARCH 108  Foundation Design II 2.0 Credits	Investigates basic design principles through abstract and applied design projects in two-dimensional and three-dimensional media.  Design exercises will advance understanding of the design process by exploring conceptual ideas through graphic and oral communication.	ARCH 108	Foundation Design II 	2.0	[0. 0. 0. ... 0. 0. 0.]	['ARCH 107', 'ARCH 109', 'ARCH 191', 'ARCH 181', 'ARCH 183', 'ARCH 455', 'VSCM 430', 'VSST 108', 'PROD 215', 'ARCH 182']
43	ARCH 109  Foundation Design III 2.0 Credits	Investigates basic design principles that emphasize the inter-relationship between the scale of the human body and its movement within three-dimensional space.  More in-depth design exercises will address the design process, development of a conceptual idea and a higher-level graphic and oral presentation.	ARCH 109	Foundation Design III 	2.0	[0. 0. 0. ... 0. 0. 0.]	['ARCH 108', 'ARCH 183', 'ARCH 181', 'ARCH 107', 'ARCH 182', 'VSCM 430', 'ARCH 381', 'PROD 215', 'VSCM 230', 'ARCH 192']
44	ARCH 141  Architecture and Society I 3.0 Credits	Examines the evolution of Western architectural thought, form, space, and structures in light of changing human values and institutions. Covers Western architecture from the prehistoric era through the Romanesque, and contemporary architecture in Asia and Central America as well as Islamic architecture in the Middle East and Spain.	ARCH 141	Architecture and Society I 	3.0	[0. 0. 0. ... 0. 0. 0.]	['ARCH 142', 'ARCH 143', 'ARCH 144', 'PHIL 317', 'ARCH 342', 'ARCH 341', 'INTR 200', 'INTB 338', 'ECEC 432', 'ENGL 203']
45	ARCH 142  Architecture and Society II 3.0 Credits	"Examines the evolution of Western architectural thought, form, space and structures in light of changing human values and institutions. Course covers early monumental architecture of the Western Hemisphere and then considers the evolution of Western architecture from the ""Dark Ages"" through the development and spread of Renaissance architecture across Europe and Latin America."	ARCH 142	Architecture and Society II 	3.0	[0. 0. 0. ... 0. 0. 0.]	['ARCH 141', 'ARCH 143', 'ARCH 144', 'PHIL 317', 'ARCH 341', 'ARTH 101', 'INTR 200', 'ARCH 342', 'PHIL 214', 'ARTH 329']
46	ARCH 143  Architecture and Society III 3.0 Credits	Examines the evolution of Western architectural thought, form, space and structures in light of changing human values and institutions.  Covers Western architecture and urbanism from the 16th C through the early 20th C.  Also considered is the architecture of the Aztec and Inca empires, Islamic architecture and architecture and landscape designs of 16th C and 17th C Japan.	ARCH 143	Architecture and Society III 	3.0	[0. 0. 0. ... 0. 0. 0.]	['ARCH 141', 'ARCH 142', 'ARCH 144', 'PHIL 317', 'ARCH 342', 'INTR 200', 'ARCH 341', 'ARCH 340', 'ARCH 350', 'ECEC 432']
47	ARCH 144  Architecture and Society IV 3.0 Credits	Examines the evolution of architectural thought, form, space and structures in light of changing human values and institutions.  Surveys the crucial buildings and thematic development of modern architecture and urbanism beginning in the late 19th C. through the mid-20th C.	ARCH 144	Architecture and Society IV 	3.0	[0. 0. 0. ... 0. 0. 0.]	['ARCH 344', 'ARCH 345', 'ARCH 143', 'ARCH 141', 'ARCH 142', 'INTR 200', 'PHIL 317', 'HIST 222', 'ARCH 340', 'MUSC 238']
48	ARCH 170  Architectural Technology I 3.0 Credits	Introduction to the fundamental aspects of building technology with exposure to materials, structure and building systems that are frequently used in building construction.  Provides a framework for the exploration of construction in the context of design.	ARCH 170	Architectural Technology I 	3.0	[0. 0. 0. ... 0. 0. 0.]	['ARCH 221', 'ARCH 251', 'ARCH 252', 'ARCH 253', 'ARCH 354', 'ARCH 291', 'CIVE 250', 'ARCH 293', 'ARCH 431', 'ARCH 292']
49	ARCH 172  Architectural Technology II 3.0 Credits	Further exploration of materials, structure and building systems and their influence on passive systems and sustainable design principles.  Begins the development of systematic thinking regarding architectural technology.	ARCH 172	Architectural Technology II 	3.0	[0. 0. 0. ... 0. 0. 0.]	['ARCH 222', 'ARCH 275', 'ARCH 173', 'ARCH 223', 'ARCH 170', 'ARCH 325', 'ARCH 274', 'ARCH 394', 'ARCH 396', 'ARCH 291']
50	ARCH 173  Architectural Technology III 3.0 Credits	Introduction to the technical building analysis including the organizing principles for materials, structure and systems.  Includes envelope assembly, thermal comfort, structural and passive building systems.	ARCH 173	Architectural Technology III 	3.0	[0. 0. 0. ... 0. 0. 0.]	['ARCH 223', 'ARCH 251', 'ARCH 253', 'ARCH 252', 'ARCH 170', 'ARCH 354', 'ARCH 172', 'ARCH 222', 'MEM 440', 'ARCH 356']
51	ARCH 181  Architecture Studio 1A 4.0 Credits	Introduces basic architectural design principles.  Elementary concepts of space, surface and form will be explored in two and three dimensional abstract exercises.  Exercises incorporate observational analysis and graphic skills.	ARCH 181	Architecture Studio 1A 	4.0	[0. 0. 0. ... 0. 0. 0.]	['ARCH 182', 'ARCH 107', 'ARCH 191', 'ARCH 108', 'ARCH 109', 'VSST 110', 'ARCH 183', 'ARCH 281', 'ARCH 455', 'MEM 238']
52	ARCH 182  Architecture Studio 1B 4.0 Credits	Transitions from abstract design principles to simple architectural exercises, considering function, scale, user and ordering strategies in relation to form-making in three-dimensional space.  Exercises heighten observation and graphic skills while developing an architectural vocabulary.	ARCH 182	Architecture Studio 1B 	4.0	[0. 0. 0. ... 0. 0. 0.]	['ARCH 191', 'ARCH 181', 'ARCH 107', 'ARCH 108', 'ARCH 281', 'ARCH 109', 'ARCH 183', 'VSST 103', 'ARCH 489', 'VSCM 430']
53	ARCH 183  Architecture Studio 1C 4.0 Credits	Focuses on a series of basic architectural problems developed around issues of context and material use in relationship to the organization of space and human activity.  Design exercises will cultivate the design process through developing a conceptual idea through graphic and oral communication.	ARCH 183	Architecture Studio 1C 	4.0	[0. 0. 0. ... 0. 0. 0.]	['ARCH 109', 'ARCH 108', 'ARCH 181', 'ARCH 282', 'ARCH 182', 'ARCH 383', 'ARCH 224', 'ARCH 192', 'ARCH 281', 'ARCH 107']
54	ARCH 191  Studio 1-AE 3.0 Credits	Architectural engineering majors only. Covers basic design principles using three-dimensional abstract and applied projects. Exercises heighten observation skills.	ARCH 191	Studio 1-AE 	3.0	[0. 0. 0. ... 0. 0. 0.]	['ARCH 107', 'ARCH 182', 'ARCH 108', 'ARCH 181', 'ARCH 192', 'ARCH 455', 'PROD 225', 'ARCH 109', 'CAEE 202', 'EDUC 105']
55	ARCH 192  Studio 2-AE 3.0 Credits	Architectural engineering majors only. Continues ARCH 191. Uses design exercises to emphasize the nature of function, structure, and material and their impact on the design process.	ARCH 192	Studio 2-AE 	3.0	[0. 0. 0. ... 0. 0. 0.]	['ARCH 282', 'ARCH 191', 'ARCH 281', 'ARCH 362', 'ARCH 183', 'PROD 215', 'ARCH 109', 'ARCH 497', 'ARCH 498', 'ARCH 182']
56	ARCH 211  Architectural Representation I 2.0 Credits	Introductory course that will provide a survey of drawing types with an emphasis on process and visual literacy.	ARCH 211	Architectural Representation I 	2.0	[0. 0. 0. ... 0. 0. 0.]	['EDUC 236', 'VSST 111', 'ANTH 345', 'MIP 382', 'ARCH 213', 'VSST 102', 'INTR 160', 'INTR 241', 'RETL 325', 'PBHL 303']
57	ARCH 212  Architectural Representation II 2.0 Credits	Emphasis on craft and composition in the architectural representation of the built environment.	ARCH 212	Architectural Representation II 	2.0	[0. 0. 0. ... 0. 0. 0.]	['ARCH 213', 'ARCH 481', 'EVGD 210', 'ARCH 456', 'VSST 111', 'FDSC 461', 'FMST 266', 'ARCH 489', 'PHIL 317', 'ARCH 483']
58	ARCH 213  Architectural Representation III 2.0 Credits	Exploration of digital representation with an emphasis on making combining process drawing, digital fabrication and analog craft to develop three-dimensional representation skills.	ARCH 213	Architectural Representation III 	2.0	[0. 0. 0. ... 0. 0. 0.]	['ARCH 212', 'INTR 241', 'INTR 341', 'VSST 110', 'GMAP 101', 'ARCH 211', 'INTR 220', 'SMT 290', 'ARCH 455', 'INFO 108']
59	ARCH 221  Materials & Methods I 1.5 Credit	Introduction to the fundamental aspects of building technology with exposure to materials and methods that are frequently used in building construction.  Provides a framework for the exploration of construction in the context of design.	ARCH 221	Materials & Methods I 	1.5	[0. 0. 0. ... 0. 0. 0.]	['ARCH 170', 'ARCH 251', 'ARCH 252', 'ARCH 253', 'ARCH 354', 'CIVE 250', 'ARCH 293', 'ARCH 292', 'CMGT 161', 'ARCH 291']
60	ARCH 222  Materials & Methods II 1.5 Credit	Further exploration of materials, structure and building systems and their influence on passive systems and sustainable design principles. Begins the development of systematic thinking regarding architectural technology.	ARCH 222	Materials & Methods II 	1.5	[0. 0. 0. ... 0. 0. 0.]	['ARCH 222', 'ARCH 275', 'ARCH 173', 'ARCH 223', 'ARCH 170', 'ARCH 325', 'ARCH 274', 'ARCH 394', 'ARCH 396', 'ARCH 291']
